Program Time [s],data 0
1078.62,2121
1078.62,2025
1078.69,1693
1078.69,1423
1078.69,1455
1078.69,1651
1078.69,1835
1078.69,1950
1078.69,2024
1078.69,2045
1078.69,1997
1078.69,1919
1078.69,1833
1078.75,1818
1078.75,1959
1078.75,2174
1078.75,2251
1078.75,2189
1078.75,2041
1078.75,1863
1078.75,1661
1078.75,1590
1078.75,1908
1078.83,1742
1078.83,1799
1078.83,1759
1078.83,1637
1078.83,1566
1078.83,1581
1078.83,1628
1078.83,1759
1078.83,1944
1078.83,1959
1078.9,1785
1078.9,1699
1078.9,1769
1078.9,1915
1078.9,2011
1078.9,1892
1078.9,1660
1078.9,1451
1078.9,1381
1078.9,1545
1078.9,1721
1078.97,1779
1078.97,1803
1078.97,1893
1078.97,1975
1078.97,1993
1078.97,1899
1078.97,1823
1078.97,1819
1078.97,1839
1078.97,1745
1078.97,1587
1079.03,1575
1079.03,1696
1079.03,1844
1079.03,1869
1079.03,1803
1079.03,1725
1079.03,1805
1079.03,1999
1079.03,2029
1079.03,1837
1079.1,1767
1079.1,1843
1079.1,1801
1079.1,1721
1079.1,1689
1079.1,1797
1079.1,1833
1079.1,1799
1079.1,1727
1079.1,1742
1079.1,1799
1079.17,1839
1079.17,1797
1079.17,1789
1079.17,2003
1079.17,2415
1079.17,2937
1079.17,3161
1079.17,2920
1079.17,2615
1079.17,2355
1079.17,1996
1079.23,1707
1079.23,1579
1079.23,1444
1079.23,1223
1079.23,1126
1079.23,1075
1079.23,1063
1079.23,1130
1079.23,1252
1079.23,2125
1079.31,2007
1079.31,1992
1079.31,2043
1079.31,2129
1079.31,2271
1079.31,2455
1079.31,2515
1079.31,2399
1079.31,2323
1079.31,2269
1079.37,2237
1079.37,2360
1079.37,2413
1079.37,2245
1079.37,2006
1079.37,1912
1079.37,1945
1079.37,2007
1079.37,2069
1079.37,2131
1079.37,2154
1079.44,2147
1079.44,2021
1079.44,1833
1079.44,1735
1079.44,1774
1079.44,1933
1079.44,2119
1079.44,2147
1079.44,1909
1079.44,1613
1079.44,1453
1079.51,1510
1079.51,1643
1079.51,1797
1079.51,1887
1079.51,1903
1079.51,1916
1079.51,1929
1079.51,1819
1079.51,1701
1079.51,1699
1079.57,1850
1079.57,1709
1079.57,1636
1079.57,1695
1079.57,1870
1079.57,2013
1079.57,1988
1079.57,1798
1079.57,1660
1079.57,1659
1079.57,1755
1079.64,1845
1079.64,1757
1079.64,1631
1079.64,1604
1079.64,1676
1079.64,1835
1079.64,1949
1079.64,1915
1079.64,1799
1079.64,1725
1079.64,1815
1079.7,2003
1079.7,2131
1079.7,2008
1079.7,1689
1079.7,1445
1079.7,1390
1079.7,1481
1079.7,1691
1079.7,1915
1079.7,1692
1079.78,1801
1079.78,1801
1079.78,1900
1079.78,1947
1079.78,1928
1079.78,1821
1079.78,1707
1079.78,1630
1079.78,1619
1079.78,1831
1079.85,2175
1079.85,2452
1079.85,2439
1079.85,2175
1079.85,1823
1079.85,1507
1079.85,1401
1079.85,1722
1079.85,2214
1079.85,2359
1079.85,2095
1079.92,1829
1079.92,1837
1079.92,2115
1079.92,2487
1079.92,2824
1079.92,3109
1079.92,3111
1079.92,2899
1079.92,2621
1079.92,2268
1079.92,1959
1079.98,1775
1079.98,1612
1079.98,1459
1079.98,1579
1079.98,1855
1079.98,1818
1079.98,1479
1079.98,1311
1079.98,1391
1079.98,1445
1080.05,2342
1080.05,2195
1080.05,2004
1080.05,1929
1080.05,2055
1080.05,2183
1080.05,2198
1080.05,2261
1080.05,2346
1080.05,2248
1080.05,1944
1080.12,1774
1080.12,1900
1080.12,2157
1080.12,2283
1080.12,2229
1080.12,2127
1080.12,1991
1080.12,1915
1080.12,2005
1080.12,2267
1080.12,2486
1080.18,2557
1080.18,2621
1080.18,2557
1080.18,2283
1080.18,2031
1080.18,1981
1080.18,2075
1080.18,2132
1080.18,2123
1080.18,1687
1080.26,1591
1080.26,1471
1080.26,1597
1080.26,2139
1080.26,2453
1080.26,2231
1080.26,1635
1080.26,1245
1080.26,1239
1080.26,1375
1080.32,1517
1080.32,1573
1080.32,1577
1080.32,1555
1080.32,1485
1080.32,1509
1080.32,1597
1080.32,1707
1080.32,1849
1080.32,1831
1080.32,1725
1080.39,1752
1080.39,2021
1080.39,2375
1080.39,2569
1080.39,2261
1080.39,1631
1080.39,1125
1080.39,988
1080.39,1189
1080.39,1390
1080.39,1509
1080.46,1579
1080.46,1619
1080.46,1661
1080.46,1695
1080.46,1772
1080.46,1833
1080.46,1867
1080.46,1823
1080.46,1739
1080.46,1737
1080.52,1747
1080.52,1715
1080.52,1693
1080.52,1703
1080.52,1638
1080.52,1595
1080.52,1685
1080.52,1810
1080.52,1897
1080.52,1903
1080.52,1799
1080.59,1672
1080.59,1687
1080.59,1709
1080.59,1907
1080.59,2137
1080.59,2119
1080.59,1828
1080.59,1435
1080.59,1227
1080.59,1203
1080.59,1435
1080.65,1669
1080.65,1833
1080.65,1815
1080.65,1645
1080.65,1523
1080.65,1436
1080.65,1435
1080.65,1637
1080.65,1824
1080.65,1383
1080.73,1816
1080.73,1727
1080.73,1659
1080.73,1659
1080.73,1787
1080.73,1961
1080.73,2095
1080.73,2133
1080.73,2057
1080.73,1831
1080.8,1645
1080.8,1691
1080.8,1832
1080.8,1957
1080.8,1970
1080.8,1895
1080.8,1890
1080.8,1973
1080.8,2134
1080.8,2216
1080.8,2172
1080.86,2020
1080.86,1848
1080.86,1802
1080.86,1995
1080.87,2266
1080.87,2349
1080.87,2187
1080.87,1983
1080.87,1868
1080.87,1912
1080.87,1989
1080.93,1997
1080.93,1975
1080.93,2105
1080.93,2311
1080.93,2399
1080.93,2452
1080.93,2453
1080.93,2328
1080.93,2197
1080.93,2201
1081,2092
1081,2259
1081,2299
1081,2115
1081,1845
1081,1663
1081,1646
1081,1762
1081,1863
1081,1836
1081,1827
1081.07,1847
1081.07,1747
1081.07,1653
1081.07,1653
1081.07,1721
1081.07,1871
1081.07,1996
1081.07,2065
1081.07,2221
1081.07,2311
1081.07,2129
1081.12,1768
1081.12,1479
1081.12,1419
1081.12,1519
1081.12,1503
1081.12,1449
1081.12,1507
1081.12,1607
1081.12,1594
1081.2,2085
1081.2,1887
1081.2,1516
1081.2,1269
1081.2,1403
1081.2,1991
1081.2,2542
1081.2,2473
1081.2,1895
1081.2,1383
1081.27,1399
1081.27,1800
1081.27,2290
1081.27,2388
1081.27,1971
1081.27,1363
1081.27,1083
1081.27,1495
1081.27,2014
1081.27,2195
1081.27,1941
1081.34,1579
1081.34,1315
1081.34,1335
1081.34,1679
1081.34,2375
1081.34,3150
1081.34,3099
1081.34,2312
1081.34,1371
1081.34,937
1081.34,1001
1081.4,1622
1081.4,2391
1081.4,2783
1081.4,2536
1081.4,1844
1081.4,1211
1081.4,999
1081.4,1183
1081.4,1555
1081.4,1851
1081.4,2663
1081.47,2573
1081.47,1949
1081.47,1297
1081.47,1213
1081.47,1707
1081.47,2166
1081.47,2317
1081.47,1966
1081.47,1397
1081.47,1129
1081.53,1401
1081.53,2018
1081.53,2447
1081.53,2389
1081.53,2180
1081.53,2235
1081.53,2646
1081.53,3173
1081.53,3239
1081.53,2825
1081.53,2416
1081.6,2163
1081.6,1784
1081.6,1167
1081.6,637
1081.6,531
1081.6,909
1081.6,1513
1081.6,2003
1081.6,2245
1081.6,2189
1081.6,1971
1081.61,2189
1081.68,825
1081.68,1363
1081.68,1931
1081.68,2254
1081.68,2335
1081.68,2293
1081.68,2147
1081.68,2232
1081.68,2821
1081.68,3671
1081.75,3943
1081.75,3087
1081.75,2213
1081.75,1663
1081.75,1429
1081.75,1495
1081.75,2053
1081.75,2567
1081.75,2651
1081.75,2577
1081.75,2156
1081.82,1736
1081.82,1843
1081.82,2323
1081.82,2667
1081.82,2703
1081.82,2213
1081.82,1453
1081.82,1097
1081.82,1438
1081.82,1945
1081.82,2216
1081.88,2058
1081.88,1499
1081.88,1304
1081.88,1879
1081.88,2895
1081.88,3195
1081.88,2423
1081.88,1943
1081.88,2043
1081.88,2275
1081.95,2121
1081.95,2287
1081.95,2125
1081.95,1685
1081.95,1607
1081.95,1779
1081.95,1897
1081.95,1852
1081.95,1775
1081.95,1637
1081.95,1529
1082.02,1562
1082.02,1323
1082.02,1351
1082.02,2139
1082.02,3367
1082.02,4077
1082.02,3347
1082.02,2063
1082.02,710
1082.02,172
1082.02,701
1082.08,1549
1082.08,2197
1082.08,2298
1082.08,2028
1082.08,1365
1082.08,831
1082.08,999
1082.08,2385
1082.08,3733
1082.08,3172
1082.08,1901
1082.09,713
1082.09,1560
1082.17,1340
1082.17,1736
1082.17,1899
1082.17,1704
1082.17,1373
1082.17,1125
1082.17,1315
1082.17,2169
1082.17,3245
1082.17,3022
1082.24,1715
1082.24,475
1082.24,0
1082.24,165
1082.24,875
1082.24,1736
1082.24,2041
1082.24,1685
1082.24,1215
1082.24,1108
1082.24,1577
1082.24,2572
1082.3,2889
1082.3,2204
1082.3,1767
1082.3,2154
1082.3,2664
1082.3,2759
1082.3,2473
1082.3,2152
1082.3,1615
1082.3,943
1082.3,695
1082.37,869
1082.37,1209
1082.37,1775
1082.37,1917
1082.37,1417
1082.37,841
1082.37,1032
1082.37,1607
1082.37,1855
1082.37,1554
1082.37,1639
1082.44,1675
1082.44,1900
1082.44,2344
1082.44,2776
1082.44,2725
1082.44,1693
1082.44,504
1082.44,0
1082.44,153
1082.44,854
1082.44,1620
1082.44,2133
1082.5,2119
1082.5,1871
1082.5,1765
1082.5,1907
1082.5,2099
1082.5,2329
1082.5,2751
1082.5,3300
1082.5,3141
1082.5,2116
1082.57,1101
1082.57,729
1082.57,957
1082.57,1315
1082.57,1640
1082.57,1939
1082.57,2035
1082.57,1961
1082.57,1811
1082.57,1818
1082.57,2008
1082.6,2584
1082.6,3468
1082.6,3829
1082.6,2963
1082.6,2534
1082.68,1072
1082.68,1711
1082.68,1853
1082.68,1507
1082.68,1161
1082.68,1129
1082.68,1387
1082.68,1779
1082.68,2616
1082.68,3674
1082.74,2943
1082.74,1216
1082.74,58
1082.74,72
1082.74,627
1082.74,1099
1082.74,1193
1082.74,1164
1082.74,1421
1082.74,1803
1082.74,1787
1082.74,1543
1082.81,1179
1082.81,1198
1082.81,1695
1082.81,1967
1082.81,1783
1082.81,1286
1082.81,979
1082.81,1131
1082.81,1367
1082.81,1531
1082.81,1739
1082.88,1957
1082.88,1951
1082.88,1406
1082.88,742
1082.88,503
1082.88,799
1082.88,1355
1082.88,1915
1082.88,2423
1082.88,2155
1082.88,1481
1082.94,795
1082.94,611
1082.94,847
1082.94,1405
1082.94,2211
1082.94,3015
1082.94,2939
1082.94,1815
1082.94,746
1082.94,454
1082.94,853
1083.01,1379
1083.01,1715
1083.01,2089
1083.01,2645
1083.01,2997
1083.01,2454
1083.01,1545
1083.01,1047
1083.01,1203
1083.01,1623
1083.01,2069
1083.08,2309
1083.08,2088
1083.08,1715
1083.08,1507
1083.08,1357
1083.08,1095
1083.08,1033
1083.08,1244
1083.08,1419
1083.08,1515
1083.08,1725
1083.1,2139
1083.1,2749
1083.1,3403
1083.1,2123
1083.18,2952
1083.18,2519
1083.18,2055
1083.18,1819
1083.18,1863
1083.18,1855
1083.18,1785
1083.18,1627
1083.18,1567
1083.18,1655
1083.25,1845
1083.25,2117
1083.25,2249
1083.25,2221
1083.25,2227
1083.25,2377
1083.25,2501
1083.25,2565
1083.25,2508
1083.25,2516
1083.25,2613
1083.31,2761
1083.31,2739
1083.31,2415
1083.31,1927
1083.31,1702
1083.31,1855
1083.31,2123
1083.31,2219
1083.31,2205
1083.31,2095
1083.31,2044
1083.38,2091
1083.38,2147
1083.38,2291
1083.38,2456
1083.38,2467
1083.38,2267
1083.38,2009
1083.38,1853
1083.38,1963
1083.38,2310
1083.45,1882
1083.45,1995
1083.45,2124
1083.45,2188
1083.45,2174
1083.45,2065
1083.45,1766
1083.45,1651
1083.45,1816
1083.45,2045
1083.45,2083
1083.51,1791
1083.51,1499
1083.51,1363
1083.51,1427
1083.51,1629
1083.51,1877
1083.51,2053
1083.51,2237
1083.51,2421
1083.51,2393
1083.51,2195
1083.58,2191
1083.58,2164
1083.58,1925
1083.58,1655
1083.58,1321
1083.58,1161
1083.58,1255
1083.58,1443
1083.58,1551
1083.58,2221
1083.65,1972
1083.65,1865
1083.65,1895
1083.65,2135
1083.65,2457
1083.65,2607
1083.65,2405
1083.65,2089
1083.65,1995
1083.65,1973
1083.72,1811
1083.72,1693
1083.72,1683
1083.72,1575
1083.72,1467
1083.72,1523
1083.72,1701
1083.72,1884
1083.72,2040
1083.72,2111
1083.72,2164
1083.79,2255
1083.79,2361
1083.79,2459
1083.79,2343
1083.79,2156
1083.79,2213
1083.79,2299
1083.79,2055
1083.79,1719
1083.79,1590
1083.79,1588
1083.85,1604
1083.85,1615
1083.85,1597
1083.85,1648
1083.85,1871
1083.85,2069
1083.85,2309
1083.85,2665
1083.85,3161
1083.85,3704
1083.92,827
1083.92,727
1083.92,873
1083.92,1141
1083.92,1379
1083.92,1525
1083.92,1589
1083.92,1635
1083.92,1711
1083.92,1827
1083.92,1997
1083.99,2297
1083.99,2469
1083.99,2443
1083.99,2278
1083.99,1932
1083.99,1621
1083.99,1499
1083.99,1527
1083.99,1555
1083.99,1587
1083.99,1689
1084.05,1855
1084.05,1971
1084.05,1941
1084.06,1880
1084.06,1865
1084.06,1875
1084.06,1925
1084.06,2031
1084.06,2201
1084.06,2341
1084.06,1518
1084.13,1750
1084.13,1695
1084.13,1695
1084.13,1611
1084.13,1423
1084.13,1385
1084.13,1496
1084.13,1599
1084.13,1636
1084.13,1520
1084.2,1231
1084.2,982
1084.2,907
1084.2,1031
1084.2,1289
1084.2,1563
1084.2,1751
1084.2,1759
1084.2,1592
1084.2,1499
1084.2,1548
1084.27,1613
1084.27,1770
1084.27,1982
1084.27,2030
1084.27,1751
1084.27,1454
1084.27,1191
1084.27,979
1084.27,957
1084.27,1304
1084.27,1674
1084.33,1699
1084.33,1469
1084.33,1305
1084.33,1353
1084.33,1576
1084.33,1853
1084.33,2045
1084.33,2171
1084.33,1987
1084.33,1519
1084.33,1400
1084.4,1591
1084.4,1737
