Program Time [s],data 0
734.262,1587
734.262,1509
734.328,1397
734.328,1378
734.328,1454
734.328,1591
734.328,1639
734.328,1583
734.328,1545
734.328,1554
734.328,1566
734.328,1497
734.328,1401
734.395,1371
734.395,1434
734.395,1551
734.395,1600
734.395,1599
734.395,1618
734.395,1605
734.395,1582
734.395,1491
734.395,1365
734.461,1560
734.461,1547
734.462,1502
734.462,1577
734.462,1797
734.462,1966
734.462,2123
734.462,2317
734.462,2335
734.462,2275
734.462,2185
734.528,1973
734.528,1647
734.528,1398
734.528,1300
734.528,1195
734.528,1081
734.528,1080
734.528,1207
734.528,1369
734.528,1399
734.528,1309
734.592,1253
734.592,1291
734.592,1384
734.592,1454
734.592,1499
734.592,1533
734.592,1588
734.592,1663
734.592,1693
734.592,1741
734.67,1766
734.67,1820
734.67,1829
734.67,1800
734.67,1797
734.67,1805
734.67,1821
734.67,1789
734.67,1739
734.67,1704
734.736,1700
734.736,1763
734.736,1803
734.736,1781
734.736,1705
734.736,1581
734.736,1499
734.736,1499
734.737,1553
734.737,1621
734.737,1677
734.803,1662
734.803,1621
734.803,1591
734.803,1563
734.803,1565
734.803,1611
734.803,1614
734.803,1605
734.803,1623
734.803,1670
734.803,1685
734.87,1659
734.87,1640
734.87,1647
734.87,1658
734.87,1707
734.87,1704
734.87,1647
734.87,1624
734.87,1635
734.87,1672
734.936,1719
734.936,1756
734.936,1739
734.936,1673
734.936,1650
734.936,1651
734.936,1674
734.936,1675
734.936,1653
734.936,1659
734.936,1679
735.003,1709
735.003,1715
735.003,1703
735.003,1695
735.003,1689
735.003,1705
735.003,1724
735.003,1736
735.003,1751
735.003,1783
735.003,1830
735.067,1813
735.067,1765
735.067,1763
735.067,1791
735.067,1869
735.067,1902
735.067,1879
735.067,1830
735.067,1787
735.067,1687
735.145,1919
735.145,1557
735.145,1331
735.145,1240
735.145,1214
735.145,1255
735.145,1264
735.145,1289
735.145,1304
735.145,1338
735.211,1417
735.211,1421
735.212,1407
735.212,1477
735.212,1583
735.212,1655
735.212,1671
735.212,1657
735.212,1715
735.212,1748
735.212,1737
735.278,1716
735.278,1715
735.278,1703
735.278,1695
735.278,1693
735.278,1685
735.278,1695
735.278,1727
735.278,1721
735.278,1661
735.278,1652
735.345,1695
735.345,1704
735.345,1717
735.345,1782
735.345,1807
735.345,1821
735.345,1827
735.345,1845
735.345,1834
735.345,1813
735.411,1942
735.411,1942
735.411,1959
735.411,2003
735.411,2003
735.411,1973
735.411,1957
735.411,1963
735.411,1995
735.411,2009
735.411,2014
735.479,1997
735.479,1935
735.479,1891
735.479,1899
735.479,1900
735.479,1879
735.479,1853
735.479,1862
735.479,1867
735.479,1863
735.479,1843
735.542,1824
735.542,1813
735.542,1796
735.542,1787
735.542,1755
735.542,1725
735.542,1733
735.542,1783
735.542,1805
735.542,1851
735.62,1887
735.62,1863
735.62,1847
735.62,1849
735.62,1853
735.62,1879
735.62,1892
735.62,1935
735.62,1988
735.62,2011
735.687,2055
735.687,2063
735.687,2056
735.687,2013
735.687,1963
735.687,1919
735.687,1915
735.687,1902
735.687,1881
735.687,1833
735.687,1767
735.753,1695
735.753,1655
735.753,1657
735.753,1711
735.753,1751
735.753,1711
735.753,1663
735.753,1647
735.753,1693
735.753,1738
735.753,1712
735.82,1708
735.82,1726
735.82,1749
735.82,1741
735.82,1733
735.82,1705
735.82,1701
735.82,1683
735.82,1687
735.82,1735
735.887,2646
735.887,2376
735.887,1991
735.887,1645
735.887,1443
735.887,1363
735.887,1369
735.887,1431
735.887,1449
735.887,1449
735.887,1499
735.953,1542
735.953,1527
735.953,1515
735.953,1575
735.953,1654
735.953,1735
735.953,1773
735.953,1803
735.953,1791
735.953,1803
735.953,1821
736.017,1818
736.017,1787
736.017,1782
736.017,1845
736.017,1879
736.017,1871
736.017,1851
736.017,1823
736.017,1817
736.017,2100
736.095,1979
736.095,1940
736.095,1897
736.095,1876
736.095,1884
736.095,1896
736.095,1899
736.095,1913
736.095,1883
736.095,1847
736.161,1835
736.161,1845
736.161,1839
736.161,1843
736.161,1833
736.161,1836
736.161,1868
736.161,1869
736.161,1853
736.161,1849
736.161,1837
736.228,1845
736.228,1895
736.228,1901
736.228,1874
736.228,1852
736.228,1881
736.228,1897
736.228,1869
736.228,1853
736.228,1847
736.228,1853
736.295,1864
736.295,1879
736.295,1884
736.295,1883
736.295,1881
736.295,1875
736.295,1823
736.295,1772
736.295,1758
736.295,1801
736.361,1802
736.361,1813
736.361,1828
736.361,1811
736.361,1761
736.361,1752
736.361,1789
736.361,1843
736.361,1873
736.361,1927
736.361,1961
736.429,1973
736.429,1977
736.429,1999
736.429,2024
736.429,2063
736.429,2067
736.429,2028
736.429,1967
736.429,1895
736.429,1851
736.429,1844
736.492,1824
736.492,1767
736.492,1709
736.492,1704
736.492,1715
736.492,1735
736.492,1741
736.492,1743
736.492,1769
736.492,1593
736.57,1853
736.57,1932
736.57,1998
736.57,2043
736.57,2071
736.57,2075
736.57,2073
736.57,2099
736.57,2131
736.57,2103
736.636,2058
736.636,2056
736.636,2035
736.636,2029
736.636,2040
736.636,2058
736.636,2057
736.636,2053
736.636,2035
736.636,2057
736.636,2069
736.703,2074
736.703,2075
736.703,2095
736.703,2109
736.703,2087
736.703,2045
736.703,2042
736.703,2079
736.703,2107
736.703,2123
736.703,2124
736.77,2121
736.77,2125
736.77,2125
736.77,2120
736.77,2100
736.77,2085
736.77,2093
736.77,2101
736.77,2100
736.77,2093
736.836,2027
736.836,1992
736.836,1959
736.836,1929
736.836,1918
736.836,1927
736.836,1907
736.836,1875
736.836,1847
736.836,1849
736.836,1839
736.903,1837
736.903,1835
736.903,1833
736.903,1819
736.903,1807
736.903,1806
736.903,1811
736.903,1823
736.903,1827
736.903,1821
736.903,1828
736.967,1844
736.967,1865
736.967,1845
736.967,1811
736.967,1799
736.967,1791
736.967,1821
736.967,1855
736.967,1879
736.967,1896
737.044,2075
737.044,2087
737.044,2089
737.044,2085
737.044,2057
737.044,2005
737.044,1973
737.044,1925
737.044,1880
737.044,1843
737.111,1781
737.111,1695
737.111,1631
737.111,1611
737.111,1622
737.111,1643
737.111,1657
737.111,1654
737.111,1637
737.111,1624
737.111,1613
737.178,1609
737.178,1595
737.178,1586
737.178,1597
737.178,1611
737.178,1605
737.178,1563
737.178,1513
737.178,1503
737.178,1531
737.178,1579
737.244,1599
737.244,1611
737.244,1686
737.244,1836
737.244,2069
737.244,2360
737.244,2566
737.245,2527
737.245,2427
737.245,2259
737.311,1355
737.311,1379
737.311,1381
737.311,1391
737.311,1426
737.311,1492
737.311,1579
737.311,1672
737.311,1719
737.311,1701
737.311,1692
737.378,1704
737.378,1711
737.378,1727
737.378,1734
737.378,1735
737.378,1747
737.378,1771
737.378,1775
737.378,1779
737.378,1783
737.378,1773
737.442,1759
737.442,1765
737.442,1769
737.442,1786
737.442,1817
737.442,1837
737.442,1866
737.442,1881
737.442,1877
737.442,1879
737.519,1779
737.519,1782
737.519,1774
737.519,1759
737.519,1757
737.519,1765
737.519,1767
737.519,1779
737.52,1769
737.52,1765
737.586,1749
737.586,1737
737.586,1749
737.586,1758
737.586,1773
737.586,1779
737.586,1779
737.586,1785
737.586,1791
737.586,1789
737.586,1788
737.653,1779
737.653,1775
737.653,1787
737.653,1785
737.653,1768
737.653,1759
737.653,1766
737.653,1768
737.653,1752
737.653,1749
737.653,1751
737.72,1755
737.72,1755
737.72,1748
737.72,1739
737.72,1748
737.72,1765
737.72,1767
737.72,1763
737.72,1751
737.72,1735
737.786,1812
737.786,1787
737.786,1775
737.786,1779
737.786,1785
737.786,1803
737.786,1839
737.786,1891
737.786,1911
737.786,1917
737.786,1919
737.853,1962
737.853,2025
737.853,2057
737.853,2066
737.853,2071
737.853,2057
737.853,2020
737.853,1981
737.853,1939
737.853,1912
737.853,1904
737.917,1871
737.917,1805
737.917,1717
737.917,1685
737.917,1695
737.917,1715
737.917,1715
737.917,1709
737.917,1711
737.917,1391
737.995,1735
737.995,1781
737.995,1787
737.995,1787
737.995,1799
737.995,1787
737.995,1789
737.995,1813
737.995,1835
737.995,1835
738.061,1833
738.061,1830
738.061,1821
738.061,1831
738.061,1848
738.061,1853
738.061,1854
738.061,1868
738.061,1879
738.061,1883
738.061,1875
738.128,1877
738.128,1891
738.128,1915
738.128,1935
738.128,1940
738.128,1958
738.128,1963
738.128,1973
738.128,1989
738.128,1992
738.128,1991
738.195,2007
738.195,2024
738.195,2040
738.195,2055
738.195,2045
738.195,2058
